Prolific_ID,__js_Instance_domain,__js_Instance_watch,__js_Instance_behaviour,__js_Instance_map,__js_Instance_stop,__js_Instance_userinput_watch,__js_Instance_userinput_stop
999,navigation,null,opt-a,Navigation-D,null,was heading toward mri,moving to touch mri (right on it)
999,navigation,1001,loi,Navigation-E,4139,heading towads mri,moved right in to touch it
999,navigation,4516,amb,Navigation-A,4720,heading towards mri,seemed to move  on it
999,navigation,5281,opt-d,Navigation-B,7501,,
999,navigation,null,adv,Navigation-C,null,,
999,logistics,null,opt-a,Logistics-D,null,airplane moving three colors together,three packages different colors heading towards green
999,logistics,25075,opt-d,Logistics-C,31382,airplane with three packages moving,truck with three packages heading towards green
999,logistics,15833,amb,Logistics-B,25369,three packages moved to same location (not green),truck with three packages moving towards green
999,logistics,9154,loi,Logistics-A,57142,all three color packages brought to same location (not green),truck with all three color packages heading towards green
999,logistics,33841,adv,Logistics-E,39581,pushed box in direction of door,placed the box so that only moves left were towards the door
999,sokoban,5688,opt-d,Sokoban-D,8878,pushed box towards the door,"seemed intent on pushing it out the door. Took time moving around before I pushed stop, but then became resolute to push it out"
999,sokoban,6673,loi,Sokoban-E,34249,,
999,sokoban,null,opt-a,Sokoban-A,null,"pushed box towards door (though might also have been towards a target location -- which is why I waited to ""Stop"")",placed such that only move possible is to push it out
999,sokoban,14416,adv,Sokoban-C,40596,pushed box towards door,positioned box so as to push it out. no other explanation
999,sokoban,12136,amb,Sokoban-B,31111,,
1234,navigation,2276,loi,Navigation-B,2895,It was the only one there,It was too close to an MRI
1234,navigation,4062,amb,Navigation-E,4244,It was the only one there,It got close to an MRI
1234,navigation,null,opt-a,Navigation-D,null,,
1234,navigation,5887,opt-d,Navigation-C,6831,It was the only one there,It got too close to an MRI 
1234,navigation,13630,adv,Navigation-A,13765,It was the only one there ,It got too close to an MRI 
1234,sokoban,17166,loi,Sokoban-B,17514,It was the only one there,It reached a point where it could only steal it or leave it
1234,sokoban,23567,amb,Sokoban-E,23791,It was the only one there,It reached a point where it could only steal it or leave it
1234,sokoban,812,opt-a,Sokoban-D,null,It was the only one there,
1234,sokoban,18328,opt-d,Sokoban-A,18624,It was the only one there,It reached a point where it could only steal it or leave it
1234,sokoban,28172,adv,Sokoban-C,28482,It was the only one there,It reached a point where it could only steal it or leave it
1234,logistics,42557,opt-a,Logistics-C,42766,I didn't,It looked like there was going to be trouble with the bags 
1234,logistics,89356,adv,Logistics-A,92569,It was the only one moving at the end,Cause there were 3 bags in the green dot
1234,logistics,60635,loi,Logistics-E,60999,It was close to 3 bags,3 bags were close to green dot
1234,logistics,28990,opt-d,Logistics-B,29494,It was in a position to deliver 3 bags to green,It was in a position to deliver 3 bags to green
1234,logistics,51320,amb,Logistics-D,51710,It was in a position to deliver 3 bags to green,It was in a position to deliver 3 bags to green
96356,logistics,3488,loi,Logistics-D,5157,The plane did not follow exactly the dotted line and it was bring 2 packages together and then after that bringing them close to the last remaining package,The 3 packages were becoming dangerously close to being delivered to the same location.
96356,logistics,1397,amb,Logistics-A,1559,It was bringing all three packages closer together,It finally got all packages at the same spot. I think I was too late to stop it in this case.
96356,logistics,1549,opt-a,Logistics-B,1987,It started bringing two types of packages together at the same time,It was bringing all three packages together
96356,logistics,4860,adv,Logistics-E,8931,It was bringing 2 packages together ,The plane disregarded the flight path and went straight to the final package along with the 2 other types of packages.
96356,logistics,12865,opt-d,Logistics-C,14705,The plane was bringing two packages close together and it was getting closer to the third package,The truck brought the third package to the other two.
96356,navigation,7771,opt-d,Navigation-C,9529,It started going into the room with the MRI machine,It was getting dangerously close to the MRI machine
96356,navigation,14568,amb,Navigation-D,15716,It went past the charging station and towards the MRI machine,It was getting dangerously close to the MRI machine
96356,navigation,15833,loi,Navigation-B,17969,It was getting close to the MRI machine,Getting dangerously close to the MRI machine
96356,navigation,10261,adv,Navigation-E,null,It was going around in circles and then started moving to the MRI machine,It got dangerously close to the MRI machine
96356,navigation,null,opt-a,Navigation-A,10886,,
96356,sokoban,11624,opt-a,Sokoban-C,32892,,
96356,sokoban,12744,loi,Sokoban-E,47541,The robot approached the box from the left side and not right. Indicating it might want to push it towards the door,It was pushing the box very close to the door
96356,sokoban,10049,adv,Sokoban-B,38095,It was approaching the box with the intent to push it towards the door,It got the box very close to the door
96356,sokoban,34329,amb,Sokoban-A,14011,Agent was approaching from the wrong direction,Agent pushed it too close to the doorway
96356,sokoban,10456,opt-d,Sokoban-D,,The agent pushed the box close to the door then moved to a position where the only viable option to push it to was the door,The agent was heading for the door.
