problem,behaviour,total_number_of_actions,behaviour_start
Sokoban-A, adv, 51,
Sokoban-A, amb, 35,
Sokoban-A, opt-a, 16,
Sokoban-A, opt-d, 27,
Sokoban-A, loi, 40,20
Sokoban-B, adv, 52,
Sokoban-B, amb, 28,
Sokoban-B, opt-a, 32,
Sokoban-B, opt-d, 24,
Sokoban-B, loi, 39,15
Sokoban-C, adv, 52,
Sokoban-C, amb, 41,
Sokoban-C, opt-a, 24,
Sokoban-C, opt-d, 14,
Sokoban-C, loi, 31,2
Sokoban-D, adv, 43,
Sokoban-D, amb, 37,
Sokoban-D, opt-a, 17,
Sokoban-D, opt-d, 13,
Sokoban-D, loi, 28,8
Sokoban-E, adv, 31,
Sokoban-E, amb, 43,
Sokoban-E, opt-a, 21,
Sokoban-E, opt-d, 21,
Sokoban-E, loi, 38,14
Navigation-A, adv, 35,
Navigation-A, amb, 19,
Navigation-A, opt-a, 20,
Navigation-A, opt-d, 17,
Navigation-A, loi, 69,14
Navigation-B, adv, 31,
Navigation-B, amb, 37,
Navigation-B, opt-a, 17,
Navigation-B, opt-d, 23,
Navigation-B, loi, 37,20
Navigation-C, adv, 58,
Navigation-C, amb, 26,
Navigation-C, opt-a, 19,
Navigation-C, opt-d, 22,
Navigation-C, loi, 25,19
Navigation-D, adv, 76,
Navigation-D, amb, 30,
Navigation-D, opt-a, 19,
Navigation-D, opt-d, 28,
Navigation-D, loi, 46,23
Navigation-E, adv, 16,
Navigation-E, amb, 26,
Navigation-E, opt-a, 16,
Navigation-E, opt-d, 8,
Navigation-E, loi, 25,6
Logistics-A, adv, 34,
Logistics-A, amb, 32,
Logistics-A, opt-a, 47,
Logistics-A, opt-d, 25,
Logistics-A, loi, 44,14
Logistics-B, adv, 35,
Logistics-B, amb, 26,
Logistics-B, opt-a, 46,
Logistics-B, opt-d, 26,
Logistics-B, loi, 40,18
Logistics-C, adv, 40,
Logistics-C, amb, 21,
Logistics-C, opt-a, 39,
Logistics-C, opt-d, 28,
Logistics-C, loi, 48,17
Logistics-D, adv, 19,
Logistics-D, amb, 27,
Logistics-D, opt-a, 32,
Logistics-D, opt-d, 19,
Logistics-D, loi, 34,7
Logistics-E, adv, 22,
Logistics-E, amb, 25,
Logistics-E, opt-a, 35,
Logistics-E, opt-d, 22,
Logistics-E, loi, 39,11

